,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,1896,Dcover Jcover-fuzz,time(Seconds):,2514,Jcover test verification on,time(Seconds):,3614
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService.new Runnable() {...},n/a,n/a,Could not find file,2,1,0.3333333333333333,2,1,0.3333333333333333,3,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.dump,DumpService.new Runnable() {...},n/a,n/a,Could not find file,14,0,0.0,14,0,0.0,14,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.utils.event,EventDispatcher.AbstractEventListener,n/a,n/a,Could not find file,0,3,1.0,0,3,1.0,0,3,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.utils.event,EventDispatcher,,,,11,15,0.5769230769230769,11,15,0.5769230769230769,9,17,0.6538461538461539
nacos-config 1.1.0,com.alibaba.nacos.config.server.utils.event,EventDispatcher.Entry,n/a,n/a,Could not find file,6,4,0.4,6,4,0.4,6,4,0.4
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.notify,AsyncNotifyService.AsyncNotifyCallBack,n/a,n/a,Could not find file,38,0,0.0,38,0,0.0,38,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.notify,AsyncNotifyService,true,,,24,18,0.42857142857142855,24,18,0.42857142857142855,24,18,0.42857142857142855
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.notify,NotifySingleService.NotifySingleTask,n/a,n/a,Could not find file,22,0,0.0,22,0,0.0,22,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.notify,NotifyTask,,,,1,22,0.9565217391304348,5,18,0.782608695652174,0,23,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.notify,AsyncNotifyService.AsyncTask,n/a,n/a,Could not find file,25,0,0.0,25,0,0.0,25,0,0.0
